,67205,-202.7.00,237,-163,,,,
424,5512,2340,-13820,29.85,-364,-209,-196,
425,5556,2432,-13988,29.85,-321,-198,-166,
426,5616,2500,-13924,29.8,-363,-172,-132,
427,5464,2476,-13912,29.8,-264,-108,-93,
428,5524,2364,-13852,29.85,-314,-103,-68,
429,5604,2364,-13720,29.89,-305,-162,-111,
430,5496,2320,-13784,29.8,-405,-217,-152,
431,5476,2416,-13792,29.71,-400,-209,-131,
432,5548,2528,-13852,29.85,-349,-150,-147,
433,5500,2492,-13792,29.85,-371,-151,-108,
434,5524,2308,-13852,29.85,-373,-159,-105,
435,5572,2424,-13848,29.89,-341,-190,-144,
436,5584,2392,-13948,29.8,-408,-162,-137,
437,5596,2392,-13736,29.85,-425,-221,-150,
438,5548,2496,-13812,29.85,-357,-156,-151,
439,5540,2404,-13756,29.75,-363,-151,-88,
440,5532,2344,-13860,29.75,-359,-143,-79,
441,5572,2376,-13796,29.89,-401,-221,-175,
442,5560,2324,-13848,29.8,-356,-197,-179,
443,5600,2432,-13676,29.85,-335,-141,-157,
444,5588,2520,-13704,29.85,-358,-172,-139,
445,5504,2420,-13776,29.85,-355,-185,-151,
446,5728,2388,-13684,29.89,-305,-180,-145,
447,5552,2528,-13872,29.89,-424,-194,-139,
448,5468,2440,-13796,29.8,-351,-184,-174,
449,5552,2368,-13912,29.85,-319,-149,-103,
450,5644,2464,-13840,29.85,-294,-208,-159,
451,5636,2440,-13780,29.85,-428,-176,-124,
452,5564,2376,-13952,29.89,-352,-225,-168,
453,5508,2492,-13704,29.89,-341,-191,-131,
454,5500,2492,-13876,29.89,-334,-201,-137,
455,5512,2424,-13796,29.8,-366,-164,-105,
456,5536,2420,-13844,29.94,-358,-191,-103,
457,5504,2436,-13824,29.94,-337,-192,-111,
458,5556,2476,-13904,29.85,-394,-173,-116,
459,5480,2480,-14036,29.89,-330,-154,-130,
460,5576,2504,-13888,29.89,-351,-154,-105,
461,5508,2400,-13904,29.85,-302,-182,-131,
462,5608,2420,-13932,29.94,-373,-173,-114,
463,5564,2416,-13900,29.85,-372,-182,-189,
464,5512,2476,-13948,29.85,-410,-189,-124,
465,5536,2484,-13784,29.94,-348,-180,-142,
466,5548,2408,-13832,29.89,-355,-164,-133,
467,5548,2456,-13924,29.89,-399,-181,-110,
468,5560,2360,-13768,29.94,-329,-165,-138,
469,5536,2416,-13776,29.85,-370,-201,-149,
