,-4,-710,192,,,,,,
377,7696,14488,-2152,31.68,-268,-486,-437,,
378,7600,14292,-2260,31.78,-260,-277,-119,,
379,7440,14228,-2284,31.64,55,-184,-239,,
380,7644,14548,-1928,31.73,206,-233,-616,,
381,6744,13552,-1724,31.82,-253,-571,-414,,
382,7816,14532,-2804,31.73,981,1067,-835,,
383,6828,13552,-1868,31.82,1157,-1985,32,,
384,7928,16400,-3224,31.68,2447,-564,-298,,
385,8016,12552,-3064,31.73,3422,-315,1337,,
386,6340,14908,-3188,31.73,263,-4760,908,,
387,7536,13392,-3984,31.68,-374,-1874,-167,,
388,7484,13808,-3360,31.82,-1543,-485,1756,,
389,7456,14076,-3756,31.78,-1131,-964,1397,,
390,7620,13404,-3960,31.73,214,136,1194,,
391,7356,13460,-3612,31.68,628,1076,-842,,
392,7708,14444,-3448,31.78,-180,767,-1993,,
393,7976,14156,-3772,31.73,-610,806,318,,
394,7356,13216,-4168,31.64,514,1401,298,,
395,7444,13464,-2976,31.73,-872,354,-2075,,
396,7940,14284,-3476,31.73,-1925,-885,-11,,
397,7892,13544,-4996,31.68,-268,-1055,2152,,
398,6804,13252,-2384,31.78,2087,243,-2154,,
399,8788,14332,-3308,31.64,-4947,-3720,133,,
400,5932,12928,-3748,31.82,4215,1755,660,,
401,9096,13844,-3748,31.73,-3373,-2755,-586,,
402,6460,13292,-3524,31.73,2174,1272,-21,,
403,8492,13916,-3972,31.73,-2095,-1684,-239,,
404,6976,13404,-4540,31.78,680,591,542,,
405,8088,13428,-3876,31.68,216,-769,-436,,
406,7336,13912,-3492,31.68,-2010,-1579,739,,
407,7412,13236,-4036,31.64,-1429,-1549,386,,
408,7760,13456,-3812,31.68,-2135,-855,535,,
409,7716,13600,-3316,31.68,-2279,-203,1019,,
410,8044,13788,-3412,31.73,-2800,-591,1283,,
411,8148,13588,-2932,31.68,-1948,-422,1784,,
412,8284,13736,-3200,31.64,-1923,-297,1128,,
413,8276,13488,-2800,31.68,-546,-59,1118,,
414,8420,13568,-2448,31.78,-747,-506,449,,
415,8524,13544,-2476,31.78,-533,200,134,,
416,8508,13404,-2512,31.73,-221,945,-494,,
417,8656,13664,-2420,31.68,-386,918,-687,,
418,8580,13424,-2504,31.68,-353,664,-437,,
419,8696,13568,-2520,31.68,-632,159,-53,,
420,8588,13548,-2308,31.68,-244,301,-491,,
421,8588,13556,-2156,31.78,-332,574,-512,,
422,8564,13524,-2248,31.68,-276,551,-810,,
423,8332,13604,-2524,31.68,-129,707,-856,,
424,8512,13624,-2120,31.73,-96,574,-653,,
