,-184864,-4192,30.74,-2214,996,-62,,
349,3992,12692,-7716,30.93,-202,271,61,
350,4352,12376,-8012,30.93,-233,-246,72,
351,4092,12412,-8328,30.98,-688,-417,87,
352,4144,12352,-7784,30.98,8,-23,-240,
353,4388,12260,-8396,31.02,-488,-442,-4,
354,4260,12424,-8120,30.88,-101,24,-1,
355,4108,12560,-8008,30.93,-355,-18,-12,
356,4248,12328,-8328,30.98,-481,-106,-214,
357,4332,12592,-8028,30.98,-261,-18,-284,
358,4192,12212,-8224,30.98,-378,-296,54,
359,4200,12320,-8144,30.93,-110,-160,-98,
360,4112,12308,-8452,30.93,-302,-262,-428,
361,4292,12440,-8236,31.02,-433,-45,-304,
362,4304,12356,-8136,30.93,-206,-53,-268,
363,4148,12472,-8456,30.93,-544,-234,-126,
364,4356,12352,-8136,30.93,-777,8,-335,
365,4288,12304,-8160,30.98,-241,310,469,
366,4408,12296,-8220,30.98,-204,-505,-170,
367,4164,12472,-8168,30.98,-361,-273,26,
368,4340,12332,-8324,30.93,-264,-202,-136,
369,4308,12144,-8316,30.93,-338,-263,-235,
370,4200,12492,-8248,31.02,-395,-139,-260,
371,4460,12412,-8056,31.02,-90,112,-431,
372,4208,12300,-8484,30.88,-803,-658,-6,
373,4148,12580,-7848,30.93,-111,78,-149,
374,4316,12272,-8192,30.93,-141,21,-107,
375,4316,12408,-8312,30.88,-481,-439,-180,
376,4356,12356,-8116,30.98,-410,-243,-73,
377,4364,12340,-8268,30.98,-294,-223,-102,
378,4284,12484,-8500,30.98,-459,-352,24,
379,4268,12412,-8136,30.93,-424,-298,-24,
380,4264,12408,-8072,30.93,-269,-106,-71,
381,4480,12108,-8036,30.98,-441,-359,-140,
382,4244,12284,-8472,30.98,-476,-477,-110,
383,4036,12540,-8204,30.93,-506,-409,-9,
384,4188,12276,-8172,30.98,-244,-253,-48,
385,4272,12448,-8224,31.02,-240,10,-195,
386,4280,12392,-8108,30.93,-402,-189,-50,
387,4208,12364,-8348,30.98,-409,-145,-234,
388,4352,12248,-8164,30.88,-366,-255,-98,
389,4172,12428,-8412,30.98,-248,-148,-236,
390,4348,12344,-8156,31.07,-363,59,-111,
391,4280,12256,-8420,30.98,-379,-285,-184,
392,4212,12412,-8332,30.98,-86,-286,-79,
393,4236,12344,-8184,30.93,-234,98,-135,
394,4148,12352,-8272,30.88,-697,-666,-44,
395,4100,12476,-8040,30.98,-162,107,-229,
396,4352,12384,-8100,31.07,-338,-287,-117,
397,4180,12260,-8388,30.98,-107,-105,-71,
398,4220,12564,-8188,30.98,-563,-459,126,
399,4200,12364,-8412,30.88,-467,-364,-95,
400,4216,12528,-7720,30.98,1,24,-261,
401,4264,12332,-8496,30.98,-564,-522,-159,
402,4264,12564,-8112,30.98,-298,35,0,
403,4120,12340,-8612,30.93,-523,-385,5,
404,4108,12264,-8844,30.84,347,103,-428,
405,4268,12388,-8664,30.93,-831,285,-853,
406,4216,12272,-7392,30.88,1329,1922,-470,
407,4236,12052,-8112,30.84,-1093,-536,-344,
408,4580,12300,-8016,30.93,34,171,-259,
409,4124,12544,-8448,30.98,-549,-679,104,
410,4396,12416,-7792,30.93,147,285,-107,
411,4032,12472,-8168,30.98,-624,-579,238,
412,3924,12280,-7924,30.88,-549,-316,21,
413,4144,12284,-8344,31.02,-935,-692,-251,
414,4048,12388,-8532,30.93,52,-125,18,
415,4484,12140,-8432,30.98,-851,-585,-72,
416,4296,12428,-8328,30.98,-425,-191,-166,
417,4440,12200,-8080,30.98,122,-89,-70,
418,4632,12328,-8532,31.02,-586,-246,-176,
419,3860,12564,-8524,30.84,-290,-288,18,
420,4312,12344,-8204,30.98,256,177,-237,
421,4320,12256,-8448,30.88,-581,-422,64,
422,3880,12556,-8076,31.02,-41,94,-59,
423,4272,12452,-8340,30.98,54,-71,-331,
424,4348,12288,-8728,30.93,-612,-609,-78,
425,4032,12636,-8300,30.98,-207,257,-330,
426,3824,12368,-9144,30.88,-344,-466,-114,
427,4136,12344,-8568,31.02,-333,2,-299,
428,4464,12216,-8344,30.88,-540,104,113,
429,4720,11852,-8256,30.93,-171,-28,-194,
430,4308,12168,-8372,30.84,-456,-371,-160,
431,4128,12316,-8268,30.98,-587,-265,-80,
432,4356,12036,-8648,30.93,83,232,-141,
433,4104,12260,-8324,31.02,-532,-493,-54,
434,4020,12400,-8792,30.98,-738,-483,-161,
